name,review
arms and the man,"this is one of my favorite plays. i had the good fortune to see a pretty well done production at university, so i already knew the plot and language of the play. this is a superb comedy, right up there with the importance of being earnest, among the best plays of the late victorian period. this period seems to be (at least to me) the era when dry british humor really came to dominate english comedy and mark it as a distinct and recognizable genre, and shaw's play definitely maes use of that kind$the plays have a special effect on the readers. we imagine them as plays while we read understanding the dialogues the feelings the expressions. it is as if we are acting all the acts and our heart goes along with the play.and i should assure everyone this play of gb shaw is a remarkable one, with adventure, beautiful turn of events and above all the sweetness of an english romance. i am not good in rating a play, but i can't give anything less than the best to this.$what a great play. while it makes fun of the military, the chocolate-cream soldier is one i would follow into battle. if you enjoy snooty people getting their due, and love winning out, enjoy. the satire is as pointed today as it was in the 1890s.$an excellent play by shaw! the fecundity of war and the hypocrisy and pretentiousness of society have been ridiculed by such a simple and clever plot. the swiss chocolate cream soldier, captain blanchly, is a most intriguing character, in my opinion one of the most memorable in modern theatre.$i really enjoyed this play and found it to be quite humorous. i want to call it a satire, but really it is the complete opposite. shaw portrays characters so realistically without exaggerating their flaws, yet his characterization and clever dialogue expose the fact that, as sergius puts it, ""life's a farce."" "
at a journal workshop by ira progoff,"it is really wordy -- so many extra words to say the least little thing that it's distracting me from the kernel of the book. expanding this edition was probably a mistake. it could use serious cutting, at least 50%.$i have started my journal work using progoff s method for the second time. i was unable to keep in the process the first time, but i still have those entries, like old records to return to and ponder over. incredibly, what i was able to accomplish during that chaotic time is valuable today as a teaching tool, when i am at a crossroads in my life.$this is a very deep, soulful work. it is definitely not light reading, as others have said, but do not let that deter you from trying to understand and use it. perhaps because i am so accustomed to reading jungian books, (which tend to be complex and lengthy) i did not find this book difficult to understand. the introduction is beautifully written with many quote worthy sections. i can immediately sense how this book was written with meticulous care and profound meaning.$a very difficult book - not so much in the subject matter, but in the way it is been written and organised. it is so dense and rambly that i found it very difficult to work out the actual writing exercises and practices. perhaps it would be more useful if i attend one of the courses around which the book is based. as it is, i cannot gauge its usefulness at this point. $this is not an easy book to read and comprehend. i read it once and then took the workshop.wrote and read some more.and then took the workshop again. i met a woman there who took the workshop yearly as long as it was offered in the area. i stopped after 2.$i had purchased a copy of this book years ago, at a time in my life when i thought that the rigorous methodology of journal writing described would be of benefit to me. i did not finish the book at that time, nor did i undertake to follow the methodology; both for unrelated reasons. nevertheless, i believe that keeping a journal is highly beneficial, and liked many of the author's ideas. so i retained the book, thinking to try it again at some other time in my life.$"
between_planets,"one of my favorite juvenile heinlein novels. while in school on earth, don receives a message to immediately leave school to join his parents on mars where they are station to do some sort of research as a war is brewing between earth and the new ""republic of venus"". don's trip is interrupted due to a war declaration. $heinlein's story of a young adult finishing school on earth before heading home to mars, only to find himself stranded by a war between earth and venus, has always been a favorite. i'm writing this after reading it in 2014 with the kids, and surprisingly this is probably their least favorite of the heinlein that i've introduced them to.$i thought this book was really dumb. this is probably the book i disagree with my father most over. normally i let my opinion of a book settle before judging, & if i keep thinking of it years later then that's a great book. i only keep thinking of this book as ""that bad book my father liked for some reason""$this book has an interesting story and the action never stops. however, it was obviously written in the 1950s. it is really amazing that it has held up as well as it has.$this is one of heinlein's juvenile novels. that said, there's a couple of somewhat more adult portions, so i'd recommend that younger children shouldn't read it. at least not without having some an interesting discussion or two. but, since the main character is a older teenager, it's more aimed towards that age range."
beyond the mexique bay,"the book starts with an amazing description of what life will be in the future. after that first chapter everything goes down hill, and i felt emotional pain for each extra page i had to go through. perfect for masochists, and if you are latino and really like racism and ""malinchism"" then this book is for you.$i loved this book. it started me on a binge of huxley which i still haven't finished. the book ambles from one central american country to the next in a very leisurely manner that suggests what travel must have been like then.$it's his travelogue of a trip he took to guatemala and mexico in the early 30s. his observations of the culture and people are occasionally interesting, but on the whole shockingly arrogant, condescending and patronizing. he repeatedly emphasizes the ugliness of the indians, their goods, and their buildings, often treating them as if they were sub-human. one of the most egregious passages: ""indian men are often handsome;$i made it less than one hundred pages into this before the racism, condescension and general disgust for mankind (especially those not fortunate enough to be born into an incredibly wealthy and influential aristocratic family) became too much for me. i was looking forward to when huxley made his way towards the part of guatemala that i was once fortunate enough to call home, but despair set in when he took time away from praising colonialism to mock women from guatemala city for not keeping up"
blue remembered earth,"i loved this optimistic feel to the whole book, a nice breath of fresh air from all the post-apocalyptic and dystopia (although i do like those genres) and it's a credit to the author that he had the insight to use this perspective to such great effect.$the novel is a typical sherlock holmes follow the not-so-obvious clues tale. in order to maintain reader interest, however there must be a hint that something very important lies at the end of the trail. this element is missing in blue remembered earth. the industrialist scions worry about a secret that might hurt the business. since the reader has neither emotional nor intellectual interest in the business, this means very little. the semi-outcasts feel that some interesting clue regarding mysterious aspects of the personal life of the matriarch might be found.$i do love mr. reynolds' voice as a writer, the undertones of melancholy, like someone that still spends hours looking into the night sky! and then how can you not appreciate his subtle humor when you get sentences like this: ""the zookeepers could be overwhelming until you built up sufficient exposure tolerance. sunday had passed that point years ago: the wilder excesses of their starry-eyed idealism now ghosted through her like a flux of neutrinos. ""$all of reynolds novels are magical mystery tours where plots and characters matter less than lushly-imagined scenery, deftly-mixed science fact and scientific speculation, and broad social/philosophical themes. in this book, reynolds sides with the techno-optimists who believe that humanity, with our collective backs up against the wall, will find ways to blunt the worst aspects of climate change, find new sources of clean energy, and boldly go where science fiction has repeatedly gone before$the book's biggest problem has to do with the narrative thread that ties it together, the search for granny's secret. unfortunately, the thread is actually a trail of breadcrumbs that granny painstakingly planted all around the solar system. it's one thing to acquaint readers with an unfamiliar world through the investigation of a crime (as in ""the prefect"" or ""house of suns""), and it's something else entirely to drag the reader through a chain of deliberately designed puzzles a la ""national treasure"". the former can feel organic, but the latter is always silly and artificial. that's ok in the ""indiana jones"" films, but not in a serious novel."
by the light of the green star  ,"the first is endemic to the series: i'm having trouble imagining the treetop cities. they're described as being jewel boxes perched on the limbs of five mile high trees, but i can't wrap my head around how a city-sized structure would sit there given the assumed scale. this would be a minor concern except that carter periodically mentions the cities and sets events there, and i can't get a good picture in my head of what this actually looks like.$the green star books was lin carter's best series in my opinion. good action and, although there are a lot of similarities to erb's work, i thought carter achieved some pretty good originality here. this is number 3 in the series.$alright, i've read better books, but i've read far worse. i don't have the rest of the series, so there's no telling if reading them would change my views. honestly, it was an enjoyable story, but there were a few things that frankly irritated me. first was the reiterating of information multiple times in the same book. it became rather monotonous hearing exactly how they got a specific item or met a certain person several times in the same book. once is enough for me to grasp it and remember it. lin also seemed to have a hard time writing the female personality.$though the first half of this book dragged (the first half of the book should have been condensed down to a few chapters) by the end i was more involved with the characters than the last book and i can't help but want to read the next. $"
cabbages and kings,"this has got to be among the best reads describing the odd friendship between colonialism and business interests, staged on the backdrop of latin america, with the original banana republic of anchuria. i landed up reading this after i learnt that this is where the term banana republic originated from. a free copy on project gutenberg and i could not stop reading this book once i started.$this is by far my favorite short story collection by o. henry. the tales take place in the same locale, a fictitious banana republic of the american tropics. there is an over-arcing plot that runs through the stories, concerning the ruling potentate's abdication and sudden departure with the nation's treasury funds, creating a mystery that isn't solved until the final vignette. along the way, we meet an amusing cast of characters, each one with his own colorful background.$i love o. henry. he had a unique grammar and diction. this book is a chain a short stories that could just as easily be called a novel. but i think the contrivances at the end, which are meant to tie the thing together, rather undermine the charm of the book.$ i was somewhat disappointed because the volume was actually a collection of short stories with a common theme, that of political events in honduras seen from a ""gringo"" point of view. o. henry's style is lively, and one learns a lot about u.s. society of the fin de siecle.$o.henry at his worst set of short stories. i couldnt find a relation between the stories as there was supposed to be some relation somewhere as i had heard. only thing was stories drifted from one person to other with some small link, but totally there was no sense in any story. "
carrion comfort,"i like long books, and carrion comfort is very long. clocking in at 886 pages, it isn't the longest i have read, either. the tiny typeface may have shortened the page count, though. i would love to find out the word count of this book. i say all this not to criticize the book (as you can see, i rated it 5 stars) but to explain why it took forever to read it.$this book! *covers eyes* oh my god! i don't know how to feel about it. dan simmons is such a great writer and his imagination scares me, like really, really bad! the stuff in this book was crazy! i couldn't believe what i was reading. sometimes i didn't even want to know where this story was going. but despite the horrific plot, one thing that simmons does really well is character building and backstory.$i must say; after reading this book, i am completely disheveled in appearance and spent. this book wore me out to say the least. this was a thrill ride of the highest order, and creeped me out the entire time. i don't want to give away anything and provide spoilers; for fear that 'someone' may find this out and complete a mind-game on me.$i always hesitate to say a book is overlong. i read because i like knowing the deepest thoughts and motivations of the characters who populate my fiction. books are meant to be longer, more in-depth experiences. there are thousands of studies that have been done on chapter and novel length, but the truth of the matter is: a reader only notices page count when the writing and/or story sucks. $there is no doubt that simmons is a great storyteller, able to write in a variety of genres, most notably horror, historical, and science fiction, and all with a skill for creating incredibly human characters in realistic situations. his words flow very well and his pacing is to my liking. "
cemetery world,"i loved this. a woman historian, robots who'd lived 1000s of years, ghosts, and a post-apocalyptic earth that had been reborn. the book reminded me most of peter beagle's work. there was a gentleness to the characters and the setting that despite the context made it feel comforting. it had some definite science fiction tropes but played them out in a wonderfully unique and interesting way. i am definitely going to read everything else i can find by this author.$my gosh this book was pretty terrible. i went into it with an open mind having read nothing else by this author. the whole story is a disaster, so very poorly put together that the badness at one point changes to pure laughs. sadly it is not intended to be funny...$i thought this would be a book about a visit back to old earth, where the characters would comb through the detritus of the past. possibly they would meet an old robot or hologram... i expected it to be full of sf tropes. instead it's a silly pulp action sf novel. extremely boring and doesn't resemble simak at all. $rather disappointing - i was told simak is one of the best at sci-fi, and all i saw in this book was adventures. which is not bad to read, but nothing more. not to speak about the idiotic discussions of the characters which were supposed to be a bit more intelligent than that.$lightly disappointed with the ending, but on the while a ""ripping good yarn"". a lot of detail (too muc?), delivered via expository dialogue which helps keep the page count down, but can jar a bit.seems more a product of the sixties than the seventies, surprised it was published 73, seems older than that, somehow."
citizen of the galaxy,"this is considered (by most anyway) to be one of heinlein's youth or teen books. however the subject matter and the story telling are on an adult level and i don't think any science fiction fan who tries this one will be disappointed. $this book was incredibly jarring. i felt like robert heinlein had a good idea...then he had another one...then he had another one. and since he liked all three of them, he decided ""what the hell!"" and combined them. the book features a boy named thorby. at the beginning of the book, he is sold as a slave to a beggar man. the beggar man (surprise) turns out to be more then he appears. he trains up thorby and turns him into a super smart and clever beggar.$i liked this book less and less, the more i listened to it (be warned: the narrator's accents are occasionally awful) and after i finished it, the more i thought and read about it. there is a dusting of libertarian thought, not a philosophy i personally find very attractive - an anthropologist with a hideous southern accent - remember, i was listening to this - spouts some libertarian thought about mid-way through that made me scratch my head. $this is my favourite of all heinlein's juveniles. there is an added bit of sophistication to this one. heinlein's juveniles are a cut above the rest (asimov, leinster, silverberg, norton and the many other scifi authors of the fifties gave this sub-genre a shot - the appeal, i suppose, is that if the book was successful, you'd get a hardcover edition into all the public school libraries...) as he never dumb down his story or narrative to his younger audience."
clouds of witness,"this isn't my favorite of the lord peter novels – but as i'm sure i've said somewhere, that's like being my least favorite chocolate or my least favorite beatle. and this does have some of my favorite peter-bunter scenes, and gave me the name for one of my blogs$i just love lord peter. very frivolous, but totally serious about his crime-solving! in a way, he's like columbo. (not fashion, obviously.) he is underestimated by his adversary because of the front he puts to the world, but when you come right down to it, they're doomed. in this story, we learn more about lord peter and his family when a murder comes to the heart of his aristocratic family. very fun what with adultery, card sharps, elopements and soviets!$this novel really gives you a look at peter and his family. there is not enough of the dowager duchess but it's fun getting to know his siblings. bunter is someone i want in my life. he runs peter's bath water, brings him breakfast in bed and pulls him out of quicksand.$this is the second book in the lord peter wimsey series, and much better than the first one. this novel casts light on wimsey's family relationships, as his elder brother, gerald, the duke of denver, is accused of murdering the fiancé of their sister, lady mary.peter tries to remain as lighthearted as ever while joining forces with his friend, inspector parker, to investigate the killing. but it's clear that, below the sparkling surface, he is worried about his family, determined to clear his brother and bewildered as to what secrets both gerald and mary are hiding. so already in this second book the character of one of the greatest golden age amateur detectives is starting to deepen."
cover her face,"was able to finish this book but couldn't really care how it ended up - not one redeeming character and very little development of the detective. i'm assuming this is because this is a series so why make me like the detective and want me to read more about him and his cases. . .don't focus on him but rather the boring, selfish other 'suspects' and 'victim'. to be fair i should read at least one more in the series to see if it gets better (based on other reviews it sounds like it gets better). however, reading another in this series is far down on my list.$i believe this was p. d. james's first detective novel, and it is an amazing piece of work for a debut. it reads like, and is, more of a novel rather than the simpler, sketchier, slightly dumbed-down style more common in the genre. yet there is nothing highbrow or deliberately precious about it.the characters are well developed. the various conflicts and motivations of the characters are interesting and well developed as well$i enjoyed this visit back to the first mystery series i ever picked up in my late teens. sometimes, it's a good thing that my memory is so poor, as this felt like a first-time read. i love the way james writes. she has a great sense of place, and is able to concisely communicate various people's states of mind amazingly well. she is also able to manage this equally well from a man's or a woman's point of view. $a nice introduction to inspector dalgleish. i found the first third of the book rather dull. all i wanted was a dead body. but it took forever to kill off sally. (not a spoiler as if says who died in the blurb on the back of the book). i didn't guess the killer which comes as no surprise as i never can tell whodunnit."
dreamsnake,"while this book gets docked a point or two for the cheesy 70s cover and the title, it deserves a place among the classics of the genre. i first read the nebula-winning novella of mist, and grass, and sand, in middle school, but i never realized that mcintyre had expanded it to novel length. it's a thoughtful adventure, a quest led by a mature and confident heroine, snake. i love her as a character: she knows who she is, she is good at what she does, and she is comfortable in her own skin. i also love that this book is not your typical post-apocalyptic nightmare. it takes place so long after a nuclear catastrophe that society has rebuilt itself, albeit in a very different form. this lets mcintyre present us with a familiar but somewhat alien landscape, advanced and regressive technology, humans acting human but according to slightly different societal rules, all with lots of room to explore. while there are a couple of elements that seem as dated as the cover, all in all i thought mcintyre did a beautiful job of expanding that original story into the larger tale told here.$a very odd book by modern standards, but one that is strikingly of its era. manages to do some things very badly (dialogue, most of the characterisation (the central character is solid and likeable but a mary sue and not all that distinctive, while the supporting cast are mostly two(or fewer)-dimensional and also somewhat msish), a lot of the plot details), yet do others very well (descriptive prose; setting and its exploration, some of the emotional stuff).$it's been quite a while since i read this, and i remembered it fondly enough, so when it came up on netgalley, i decided to request it and do a reread. i only gave it three stars the first time, which surprised me when i looked it up and saw the raft of awards it got: nebula, hugo, tiptree nomination, national book award finalist… i remembered it being quite like the steerswoman in the narrative style, in the capable heroine; i remembered that the background of the story including queer and polyamorous characters in a casual, natural way — as well as plenty of capable women who knew what they were doing, who talked to each other (about things other than men!), who worked together.$snake is a healer on her proving year, travelling the vaguely post-apocalyptic landscape (there is always a vague apocalypse) to treat illness and injury using the venom of her snakes, but when her dreamsnake is killed she must find a new source for the extremely rare creature or she will no longer be able to work as a healer."
emperors of the twilight,"i enjoyed evi's character and her development throughout the story. she's about as deep as nohar's character, so not too great but not bad either.the story was exciting and kept me interested all the way to the end. there were lots of action scenes and they were described well allowing me to visualize all the action easily. overall, not something that i would want to read over and over but it was exciting and quick to read. 3 out of 5 stars.$emperors of the twilight was a decent book (following forests of the night.it was exciting to dive back into the world where humans, moreaus, and franks lived. this book was chock full of action, mystery, and romance like the forests of the night (or fotn for short). it follows the same story line (picking up after the events in fotn) six years later with a different main character.$not as good as the first book, but still good enough. continues the plot with a different interesting angle. where the first book concentrated on a detective/noir theme, this one's main character is a cia agent and the theme is more mystery/conspiracy. nohar was a better main character then evi is, still it's a fun light read - i like the world in which these books take place, with it's anthropomorphic animals and genetically engineered beings, along with the humans (and of course aliens)."
